ncbi.name,pathogenid,taxid,baltimore,order,family,genus,rna,rt,double_stranded,negative_sense,positive_sense,enveloped,circular,segmented,cytoplasm,size_MB,size_KB,CDS,GC,max_bread,max_bread_nh,tip
dyochipapillomavirus 1,27298814,1918729,group i,na,papillomaviridae,dyochipapillomavirus,0,0,1,0,0,0,1,0,0,0.007467,7.467,5,50.1,0,0,Dyochipapillomavirus_1
dyoiotapapillomavirus 1,4219314,1233177,group i,na,papillomaviridae,dyoiotapapillomavirus,0,0,1,0,0,0,1,0,0,0.007692,7.692,7,53.5,0,0,Dyoiotapapillomavirus_1
dyoiotapapillomavirus 2,27246606,2083182,group i,na,papillomaviridae,dyoiotapapillomavirus,0,0,1,0,0,0,1,0,0,0.0075365,7.5365,7,52.55,0,0,Dyoiotapapillomavirus_2
dyokappapapillomavirus 1,4025666,1513247,group i,na,papillomaviridae,dyokappapapillomavirus,0,0,1,0,0,0,1,0,0,0.007344,7.344,7,46.8,0,0,Dyokappapapillomavirus_1
dyokappapapillomavirus 2,27727391,1961787,group i,na,papillomaviridae,dyokappapapillomavirus,0,0,1,0,0,0,1,0,0,0.007256,7.256,6,48.6,0,0,Dyokappapapillomavirus_2
dyokappapapillomavirus 3,27500482,2169878,group i,na,papillomaviridae,dyokappapapillomavirus,0,0,1,0,0,0,1,0,0,0.007527,7.527,7,44.5,0,0,Dyokappapapillomavirus_3
dyokappapapillomavirus 4,27500488,2169879,group i,na,papillomaviridae,dyokappapapillomavirus,0,0,1,0,0,0,1,0,0,0.007282,7.282,6,41.4,0,0,Dyokappapapillomavirus_4
dyolambdapapillomavirus 1,4110301,1513248,group i,na,papillomaviridae,dyolambdapapillomavirus,0,0,1,0,0,0,1,0,0,0.007737,7.737,7,44.2,0,0,Dyolambdapapillomavirus_1
dyonupapillomavirus 1,4250019,1513250,group i,na,papillomaviridae,dyonupapillomavirus,0,0,1,0,0,0,1,0,0,0.007822,7.822,7,51.867,0,0,Dyonupapillomavirus_1
dyoomegapapillomavirus 1,27775963,1918731,group i,na,papillomaviridae,dyoomegapapillomavirus,0,0,1,0,0,0,1,0,0,0.007574,7.574,6,48.8,0,0,Dyoomegapapillomavirus_1
dyoomikronpapillomavirus 1,26323240,1513251,group i,na,papillomaviridae,dyoomikronpapillomavirus,0,0,1,0,0,0,1,0,0,0.007657,7.657,6,47.4,41.8,41.8,Dyoomikronpapillomavirus_1
dyophipapillomavirus 1,27793434,1920493,group i,na,papillomaviridae,dyophipapillomavirus,0,0,1,0,0,0,1,0,0,0.007515,7.515,7,39.05,0,0,Dyophipapillomavirus_1
dyopipapillomavirus 1,4082321,1513252,group i,na,papillomaviridae,dyopipapillomavirus,0,0,1,0,0,0,1,0,0,0.007348,7.348,6,43.9,0,0,Dyopipapillomavirus_1
dyopsipapillomavirus 1,27775961,1920498,group i,na,papillomaviridae,dyopsipapillomavirus,0,0,1,0,0,0,1,0,0,0.007668,7.668,6,45.7,0,0,Dyopsipapillomavirus_1
dyorhopapillomavirus 1,27295640,1513253,group i,na,papillomaviridae,dyorhopapillomavirus,0,0,1,0,0,0,1,0,0,0.007585,7.585,7,51.9,0,0,Dyorhopapillomavirus_1
dyosigmapapillomavirus 1,26323246,1513254,group i,na,papillomaviridae,dyosigmapapillomavirus,0,0,1,0,0,0,1,0,0,0.007435,7.435,4,45.3,0,0,Dyosigmapapillomavirus_1
dyoupsilonpapillomavirus 1,27727389,1932912,group i,na,papillomaviridae,dyoupsilonpapillomavirus,0,0,1,0,0,0,1,0,0,0.007891,7.891,6,42.4,0,0,Dyoupsilonpapillomavirus_1
dyoxipapillomavirus 1,26552587,1513255,group i,na,papillomaviridae,dyoxipapillomavirus,0,0,1,0,0,0,1,0,0,0.007412,7.412,7,45.5,167.8,167.8,Dyoxipapillomavirus_1
dyoxipapillomavirus 2,27500490,2169881,group i,na,papillomaviridae,dyoxipapillomavirus,0,0,1,0,0,0,1,0,0,0.007201,7.201,7,42.25,0,0,Dyoxipapillomavirus_2
dzifa herpesvirus,27762755,1410510,group i,herpesvirales,herpesviridae,herpesviridae,0,0,1,0,0,1,0,0,0,0.150500516,150.5005156,63,55.8906,0,0,Dzifa_herpesvirus
eastern equine encephalitis virus,3435775,11021,group iv,na,togaviridae,alphavirus,1,0,0,0,1,1,0,0,1,0.011675,11.675,4,48.7,187,187,Eastern_equine_encephalitis_virus
eastern lesser bamboo lemur adenovirus,2301503,2301503,group i,na,adenoviridae,adenoviridae,0,0,1,0,0,0,0,0,0,0.035284733,35.28473333,35,53.1664,0,0,Eastern_lesser_bamboo_lemur_adenovirus
echidna erv,27760337,1400256,group vi,ortervirales,retroviridae,gammaretrovirus,1,1,0,0,1,1,0,0,0,0.006970333,6.970333333,3,51.778,0,0,Echidna_ERV
ectromelia virus,3437786,12643,group i,na,poxviridae,orthopoxvirus,0,0,1,0,0,1,0,0,1,0.209771,209.771,173,33.2,186.8,186.8,Ectromelia_virus
eidolon dupraenum simplexvirus 1,3994641,570422,group i,herpesvirales,herpesviridae,simplexvirus,0,0,1,0,0,1,0,0,0,0.125263615,125.2636154,64,67.231,0,0,Eidolon_dupraenum_simplexvirus_1
eidolon helvum adenovirus 1,27786484,1335467,group i,na,adenoviridae,adenoviridae,0,0,1,0,0,0,0,0,0,0.035284733,35.28473333,35,53.1664,0,0,Eidolon_helvum_adenovirus_1
eidolon helvum adenovirus 2,27786486,1335468,group i,na,adenoviridae,adenoviridae,0,0,1,0,0,0,0,0,0,0.035284733,35.28473333,35,53.1664,0,0,Eidolon_helvum_adenovirus_2
eidolon helvum adenovirus 3,27744671,1335469,group i,na,adenoviridae,adenoviridae,0,0,1,0,0,0,0,0,0,0.035284733,35.28473333,35,53.1664,0,0,Eidolon_helvum_adenovirus_3
eidolon helvum herpesvirus 1,27744673,1335470,group i,herpesvirales,herpesviridae,herpesviridae,0,0,1,0,0,1,0,0,0,0.150500516,150.5005156,63,55.8906,0,0,Eidolon_helvum_herpesvirus_1
eidolon helvum herpesvirus 2,27744675,1335471,group i,herpesvirales,herpesviridae,herpesviridae,0,0,1,0,0,1,0,0,0,0.150500516,150.5005156,63,55.8906,0,0,Eidolon_helvum_herpesvirus_2
eidolon helvum herpesvirus 3,27744677,1335472,group i,herpesvirales,herpesviridae,herpesviridae,0,0,1,0,0,1,0,0,0,0.150500516,150.5005156,63,55.8906,0,0,Eidolon_helvum_herpesvirus_3
eidolon helvum kobuvirus,27786488,1335473,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.008172063,8.1720625,1,55.256,0,0,Eidolon_helvum_kobuvirus
eidolon helvum lung retrovirus 1,27786492,1335474,group vi,ortervirales,retroviridae,retroviridae,1,1,0,0,1,1,0,0,0,0.008268062,8.268061791,5,47.117,0,0,Eidolon_helvum_lung_retrovirus_1
eidolon helvum papillomavirus 4,27744679,1335478,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Eidolon_helvum_papillomavirus_4
eidolon helvum papillomavirus 5,27744681,1335479,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Eidolon_helvum_papillomavirus_5
eidolon helvum papillomavirus 6,27744683,1335480,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Eidolon_helvum_papillomavirus_6
eidolon helvum papillomavirus 7,27786498,1335481,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Eidolon_helvum_papillomavirus_7
eidolon helvum paramyxovirus,27726935,1133726,group v,mononegavirales,paramyxoviridae,paramyxoviridae,1,0,0,1,0,1,0,0,1,0.01637847,16.37847,8,41.642,0,0,Eidolon_helvum_paramyxovirus
eidolon helvum parvovirus 2,27786500,1335482,group ii,na,parvoviridae,chapparvovirus,0,0,0,0,1,0,0,0,0,0.003999,3.999,2,54.9,0,0,Eidolon_helvum_parvovirus_2
eidolon helvum poxvirus 1,27786502,1335484,group i,na,poxviridae,poxviridae,0,0,1,0,0,1,0,0,1,0.186053938,186.0539382,192,36.3799,0,0,Eidolon_helvum_poxvirus_1
eidolon helvum simplexvirus 1,3994642,570423,group i,herpesvirales,herpesviridae,simplexvirus,0,0,1,0,0,1,0,0,0,0.125263615,125.2636154,64,67.231,0,0,Eidolon_helvum_simplexvirus_1
eidolon helvum throat retrovirus 1,27786494,1335475,group vi,ortervirales,retroviridae,retroviridae,1,1,0,0,1,1,0,0,0,0.008268062,8.268061791,5,47.117,0,0,Eidolon_helvum_throat_retrovirus_1
el moro canyon orthohantavirus,3452242,1980468,group v,bunyavirales,hantaviridae,orthohantavirus,1,0,0,1,0,1,0,1,1,0.005697,5.697,2,39.3326,46.2,46.2,El_Moro_Canyon_orthohantavirus
elephant endotheliotropic herpesvirus 2,4110345,759755,group i,herpesvirales,herpesviridae,proboscivirus,0,0,1,0,0,1,0,0,0,0.193348,193.348,117,48.4,19,19,Elephant_endotheliotropic_herpesvirus_2
elephant endotheliotropic herpesvirus 3,3977712,548913,group i,herpesvirales,herpesviridae,proboscivirus,0,0,1,0,0,1,0,0,0,0.193348,193.348,117,48.4,39,39,Elephant_endotheliotropic_herpesvirus_3
elephant endotheliotropic herpesvirus 4,3977713,548914,group i,herpesvirales,herpesviridae,proboscivirus,0,0,1,0,0,1,0,0,0,0.205896,205.896,120,55.3,0,0,Elephant_endotheliotropic_herpesvirus_4
elephant endotheliotropic herpesvirus 5,4117048,768738,group i,herpesvirales,herpesviridae,proboscivirus,0,0,1,0,0,1,0,0,0,0.1808,180.8,115,41.5,0,0,Elephant_endotheliotropic_herpesvirus_5
elephant endotheliotropic herpesvirus 6,4117049,768739,group i,herpesvirales,herpesviridae,proboscivirus,0,0,1,0,0,1,0,0,0,0.193348,193.348,117,48.4,19,19,Elephant_endotheliotropic_herpesvirus_6
elephant endotheliotropic herpesvirus 7,26323626,1166470,group i,herpesvirales,herpesviridae,proboscivirus,0,0,1,0,0,1,0,0,0,0.193348,193.348,117,48.4,19,19,Elephant_endotheliotropic_herpesvirus_7
elephant gammaherpesvirus 1b,27541063,1325581,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,19,19,Elephant_gammaherpesvirus_1B
elephant gammaherpesvirus 2,4117051,768741,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,39,39,Elephant_gammaherpesvirus_2
elephant gammaherpesvirus 4,27467794,1806069,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,19,19,Elephant_gammaherpesvirus_4
elephant gammaherpesvirus 5,4117054,768744,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,39,39,Elephant_gammaherpesvirus_5
elephantid betaherpesvirus 1,3621114,146015,group i,herpesvirales,herpesviridae,proboscivirus,0,0,1,0,0,1,0,0,0,0.180421,180.421,113,42.3,39,39,Elephantid_betaherpesvirus_1
elephantid herpesvirus 3,3806500,353637,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,39,39,Elephantid_herpesvirus_3
elephantid herpesvirus 4,3806501,353638,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,39,39,Elephantid_herpesvirus_4
elephantid herpesvirus 5,3858247,410853,group i,herpesvirales,herpesviridae,rhadinovirus,0,0,1,0,0,1,0,0,0,0.1021695,102.1695,81,43.867,39,39,Elephantid_herpesvirus_5
elephantid herpesvirus 6,3884241,439203,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,39,39,Elephantid_herpesvirus_6
elk gammaherpesvirus 1,27708919,1834526,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Elk_gammaherpesvirus_1
elk gammaherpesvirus 2,27708921,1834527,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Elk_gammaherpesvirus_2
elk gammaherpesvirus 3,27483737,1834528,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Elk_gammaherpesvirus_3
elk herpesvirus,3816590,364634,group i,herpesvirales,herpesviridae,varicellovirus,0,0,1,0,0,1,0,0,0,0.107449059,107.4490588,58,59.065,0,0,Elk_herpesvirus
encephalomyocarditis virus type 2,27238814,1214956,group iv,picornavirales,picornaviridae,cardiovirus,1,0,0,0,1,0,0,0,1,0.008155333,8.155333333,2,46.933,0,0,Encephalomyocarditis_virus_type_2
entebbe bat virus,3502555,64283,group iv,na,flaviviridae,flavivirus,1,0,0,0,1,1,0,0,1,0.01051,10.51,1,50.5,100.2,100.2,Entebbe_bat_virus
enterovirus a,3614624,138948,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.0074055,7.4055,1,48.1,180.4,180.4,Enterovirus_A
enterovirus b,3614625,138949,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.007394,7.394,1,47.45,186.8,186.8,Enterovirus_B
enterovirus c,3614626,138950,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.00744,7.44,1,45.9,65,65,Enterovirus_C
enterovirus d,3614627,138951,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.0073785,7.3785,1,41.95,0,0,Enterovirus_D
enterovirus e,3437105,12064,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.007414,7.414,1,49.3,0,0,Enterovirus_E
enterovirus f,26552619,1330520,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.007397,7.397,1,50.5,124.2,124.2,Enterovirus_F
enterovirus g,3576915,106966,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.007388,7.388,1,45.7,186.8,123.8,Enterovirus_G
enterovirus h,3767612,310907,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.0073345,7.3345,1,43.95,0,0,Enterovirus_H
enterovirus i,27643580,2040663,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.007441,7.441,1,45.4,0,0,Enterovirus_I
enterovirus j,26323910,1330521,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.007351,7.351,1,45.3,65,65,Enterovirus_J
enterovirus l,27707351,2169885,group iv,picornavirales,picornaviridae,enterovirus,1,0,0,0,1,0,0,0,1,0.007441,7.441,1,45.4,0,0,Enterovirus_L
epizootic hemorrhagic disease virus,3460152,40054,group iii,na,reoviridae,orbivirus,1,0,1,0,0,0,0,1,1,0.019405,19.405,10,42.1526,167.2,167.2,Epizootic_hemorrhagic_disease_virus
epsilonarterivirus hemcep,2501964,2501964,group iv,nidovirales,arteriviridae,epsilonarterivirus,1,0,0,0,1,1,0,0,1,0.01537,15.37,13,52,0,0,Epsilonarterivirus_hemcep
epsilonpapillomavirus 1,3460994,40537,group i,na,papillomaviridae,epsilonpapillomavirus,0,0,1,0,0,0,1,0,0,0.007841,7.841,6,44.2,33.8,33.8,Epsilonpapillomavirus_1
eptesicus isabellinus betaherpesvirus 1,27271396,1325383,group i,herpesvirales,herpesviridae,betaherpesvirinae,0,0,1,0,0,1,0,0,0,0.187545625,187.545625,115,50.84375,0,0,Eptesicus_isabellinus_betaherpesvirus_1
eptesicus isabellinus betaherpesvirus 2,27271398,1325384,group i,herpesvirales,herpesviridae,betaherpesvirinae,0,0,1,0,0,1,0,0,0,0.187545625,187.545625,115,50.84375,0,0,Eptesicus_isabellinus_betaherpesvirus_2
eptesicus isabellinus papillomavirus,27861136,1495312,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Eptesicus_isabellinus_papillomavirus
eptesicus serotinus betaherpesvirus 1,27741051,1325385,group i,herpesvirales,herpesviridae,betaherpesvirinae,0,0,1,0,0,1,0,0,0,0.187545625,187.545625,115,50.84375,0,0,Eptesicus_serotinus_betaherpesvirus_1
eptesicus serotinus papillomavirus,27861134,1495311,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Eptesicus_serotinus_papillomavirus
eptesipox virus,27272630,1329402,group i,na,poxviridae,poxviridae,0,0,1,0,0,1,0,0,1,0.176688,176.688,191,23.6,0,0,Eptesipox_virus
equid alphaherpesvirus 1,3434767,10326,group i,herpesvirales,herpesviridae,varicellovirus,0,0,1,0,0,1,0,0,0,0.150224,150.224,80,56.7,187.2,187.2,Equid_alphaherpesvirus_1
equid alphaherpesvirus 3,3530040,80341,group i,herpesvirales,herpesviridae,varicellovirus,0,0,1,0,0,1,0,0,0,0.151601,151.601,80,68.1,13.8,13.8,Equid_alphaherpesvirus_3
equid alphaherpesvirus 4,3434777,10331,group i,herpesvirales,herpesviridae,varicellovirus,0,0,1,0,0,1,0,0,0,0.145597,145.597,79,50.5,13.8,13.8,Equid_alphaherpesvirus_4
equid alphaherpesvirus 8,3459451,39637,group i,herpesvirales,herpesviridae,varicellovirus,0,0,1,0,0,1,0,0,0,0.149332,149.332,81,54.4,13.8,13.8,Equid_alphaherpesvirus_8
equid alphaherpesvirus 9,3487622,55744,group i,herpesvirales,herpesviridae,varicellovirus,0,0,1,0,0,1,0,0,0,0.148371,148.371,80,56.1,167.6,167.6,Equid_alphaherpesvirus_9
equid gammaherpesvirus 2,3437792,12657,group i,herpesvirales,herpesviridae,percavirus,0,0,1,0,0,1,0,0,0,0.184439,184.439,78,57.5,13.8,13.8,Equid_gammaherpesvirus_2
equid gammaherpesvirus 5,3434825,10371,group i,herpesvirales,herpesviridae,percavirus,0,0,1,0,0,1,0,0,0,0.18238,182.38,79,54.7,13.8,13.8,Equid_gammaherpesvirus_5
equid gammaherpesvirus 7,3750257,291612,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.000913,0.913,1,62.8,0,0,Equid_gammaherpesvirus_7
equine encephalosis virus,3671890,201490,group iii,na,reoviridae,orbivirus,1,0,1,0,0,0,0,1,1,0.019453,19.453,10,45.1854,13.8,13.8,Equine_encephalosis_virus
equine hepacivirus,25871219,1281455,group iv,na,flaviviridae,hepacivirus,1,0,0,0,1,1,0,0,1,0.009355,9.355,1,50.4,13.8,13.8,Equine_hepacivirus
equine infectious anemia virus,3436542,11665,group vi,ortervirales,retroviridae,lentivirus,1,1,0,0,1,1,0,0,0,0.008359,8.359,4,38.7,13.8,13.8,Equine_infectious_anemia_virus
equine mastadenovirus a,3606500,129954,group i,na,adenoviridae,mastadenovirus,0,0,1,0,0,0,0,0,0,0.031794849,31.79484856,28,51.2016,0,0,Equine_mastadenovirus_A
equine mastadenovirus b,3606501,129955,group i,na,adenoviridae,mastadenovirus,0,0,1,0,0,0,0,0,0,0.031794849,31.79484856,28,51.2016,0,0,Equine_mastadenovirus_B
equine papillomavirus,27345570,2025828,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Equine_papillomavirus
equine parapoxvirus,26748019,1686431,group i,na,poxviridae,parapoxvirus,0,0,1,0,0,1,0,0,1,0.13690575,136.90575,129,62.2,0,0,Equine_parapoxvirus
equine rhinitis a virus,3472300,47000,group iv,picornavirales,picornaviridae,aphthovirus,1,0,0,0,1,0,0,0,1,0.007734,7.734,2,46.5,167.2,167.2,Equine_rhinitis_A_virus
equine rotavirus,3435648,10937,group iii,na,reoviridae,rotavirus,1,0,1,0,0,0,0,1,1,0.017829333,17.82933333,11,35.40725556,0,0,Equine_rotavirus
erbovirus a,3768800,312185,group iv,picornavirales,picornaviridae,erbovirus,1,0,0,0,1,0,0,0,1,0.008828,8.828,1,48.8,0,0,Erbovirus_A
erythrocebus patas adenovirus,1916695,1916695,group i,na,adenoviridae,adenoviridae,0,0,1,0,0,0,0,0,0,0.035284733,35.28473333,35,53.1664,0,0,Erythrocebus_patas_adenovirus
etaarterivirus ugarco 1,2501969,2501969,group iv,nidovirales,arteriviridae,etaarterivirus,1,0,0,0,1,1,0,0,1,0.015596,15.596,14,48.6,0,0,Etaarterivirus_ugarco_1
eubenangee virus,3460154,40056,group iii,na,reoviridae,orbivirus,1,0,1,0,0,0,0,1,1,0.019304,19.304,10,44.1184,0,0,Eubenangee_virus
european bat 1 lyssavirus,3490733,57482,group v,mononegavirales,rhabdoviridae,lyssavirus,1,0,0,1,0,1,0,0,1,0.011966,11.966,5,44.6,186.8,167.8,European_bat_1_lyssavirus
european bat 2 lyssavirus,3490735,57483,group v,mononegavirales,rhabdoviridae,lyssavirus,1,0,0,1,0,1,0,0,1,0.01193,11.93,5,44.8,186.8,167.8,European_bat_2_lyssavirus
european bat lyssavirus,3457974,38768,group v,mononegavirales,rhabdoviridae,lyssavirus,1,0,0,1,0,1,0,0,1,0.011948,11.948,5,44.7,43.6,43.6,European_bat_lyssavirus
european brown hare syndrome virus,3449703,33756,group iv,na,caliciviridae,lagovirus,1,0,0,0,1,0,0,0,1,0.007442,7.442,2,49.3,39.4,39.4,European_brown_hare_syndrome_virus
eyach virus,3499249,62352,group iii,na,reoviridae,coltivirus,1,0,1,0,0,0,0,1,1,0.02921,29.21,13,45.731,0,0,Eyach_virus
fallow deer lymphotropic herpesvirus,3788216,333342,group i,herpesvirales,herpesviridae,rhadinovirus,0,0,1,0,0,1,0,0,0,0.1021695,102.1695,81,43.867,0,0,Fallow_deer_lymphotropic_herpesvirus
false killer whale alphaherpesvirus,4040840,655486,group i,herpesvirales,herpesviridae,alphaherpesvirinae,0,0,1,0,0,1,0,0,0,0.144144,144.144,86,73.4,0,0,False_killer_whale_alphaherpesvirus
felid alphaherpesvirus 1,3434781,10334,group i,herpesvirales,herpesviridae,varicellovirus,0,0,1,0,0,1,0,0,0,0.135797,135.797,77,45.8,121,121,Felid_alphaherpesvirus_1
felid gammaherpesvirus 1,27078623,2560468,group i,herpesvirales,herpesviridae,percavirus,0,0,1,0,0,1,0,0,0,0.122522,122.522,87,36.6,25.4,25.4,Felid_gammaherpesvirus_1
feline anellovirus,1861840,1861840,group ii,na,anelloviridae,anelloviridae,0,0,0,0,1,0,1,0,0,0.002734,2.734,3,45.48115,0,0,Feline_anellovirus
feline associated cyclovirus 1,26747895,1987742,group ii,na,circoviridae,cyclovirus,0,0,0,0,1,0,1,0,0,0.001773,1.773,2,36.5,0,0,Feline_associated_cyclovirus_1
feline astrovirus 2,26328080,1389204,group iv,na,astroviridae,mamastrovirus,1,0,0,0,1,0,0,0,1,0.006795,6.795,3,49.9,0,0,Feline_astrovirus_2
feline avastrovirus,26748071,1792584,group iv,na,astroviridae,avastrovirus,1,0,0,0,1,0,0,0,1,0.007146,7.146,3,43.8,0,0,Feline_avastrovirus
feline calicivirus,3436990,11978,group iv,na,caliciviridae,vesivirus,1,0,0,0,1,0,0,0,1,0.007683,7.683,3,45.2,121,121,Feline_calicivirus
feline foamy virus,3483030,53182,group vi,ortervirales,retroviridae,felispumavirus,1,1,0,0,1,1,0,0,0,0.010479,10.479,4,38.8,25.6,25.6,Feline_foamy_virus
feline immunodeficiency virus,3436558,11673,group vi,ortervirales,retroviridae,lentivirus,1,1,0,0,1,1,0,0,0,0.009474,9.474,6,36.8,73.4,73.4,Feline_immunodeficiency_virus
feline leukemia virus,3436717,11768,group vi,ortervirales,retroviridae,gammaretrovirus,1,1,0,0,1,1,0,0,0,0.008448,8.448,2,50.8,26,26,Feline_leukemia_virus
feline mamastrovirus,26748073,1792585,group iv,na,astroviridae,mamastrovirus,1,0,0,0,1,0,0,0,1,0.005421793,5.421793103,3,46.8172,0,0,Feline_mamastrovirus
feline morbillivirus,26745893,1170234,group v,mononegavirales,paramyxoviridae,morbillivirus,1,0,0,1,0,1,0,0,1,0.016004,16.004,6,35,0,0,Feline_morbillivirus
feline papillomavirus type 3,26748013,1679502,group i,na,papillomaviridae,taupapillomavirus,0,0,1,0,0,0,1,0,0,0.0079225,7.9225,8,47.15,0,0,Feline_papillomavirus_type_3
feline parvovirus,3435408,10785,group ii,na,parvoviridae,protoparvovirus,0,0,0,0,1,0,0,0,0,0.005291625,5.291625,3,42.8125,121,121,Feline_parvovirus
feline picobirnavirus,25871225,1417758,group iii,na,picobirnaviridae,picobirnavirus,1,0,1,0,0,0,0,1,1,0.003859,3.859,3,45.012,0,0,Feline_picobirnavirus
feline picornavirus,26747407,1108810,group iv,picornavirales,picornaviridae,picornaviridae,1,0,0,0,1,0,0,0,1,0.007391,7.391,1,51.2,26,26,Feline_picornavirus
feline rotavirus,3435622,10921,group iii,na,reoviridae,rotavirus,1,0,1,0,0,0,0,1,1,0.017829333,17.82933333,11,35.40725556,0,0,Feline_rotavirus
feline rotavirus viseu,26747775,1417760,group iii,na,reoviridae,rotavirus,1,0,1,0,0,0,0,1,1,0.017829333,17.82933333,11,35.40725556,0,0,Feline_rotavirus_Viseu
feline sarcoid-associated papillomavirus,4040585,655222,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Feline_sarcoid-associated_papillomavirus
felis catus adenovirus,2067749,2067749,group i,na,adenoviridae,adenoviridae,0,0,1,0,0,0,0,0,0,0.035284733,35.28473333,35,53.1664,0,0,Felis_catus_adenovirus
ferret badger calicivirus,27598650,1564920,group iv,na,caliciviridae,caliciviridae,1,0,0,0,1,0,0,0,1,0.007632578,7.632577778,3,51.1,0,0,Ferret_badger_calicivirus
ferret coronavirus,27512803,1264898,group iv,nidovirales,coronaviridae,alphacoronavirus,1,0,0,0,1,1,0,0,1,0.028434,28.434,9,39,0,0,Ferret_coronavirus
ferret kobuvirus,27758097,1394138,group iv,picornavirales,picornaviridae,kobuvirus,1,0,0,0,1,0,0,0,1,0.008172063,8.1720625,1,55.256,0,0,Ferret_kobuvirus
ferret papillomavirus,27758099,1394141,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Ferret_papillomavirus
fesavirus 4,27798261,1530453,group iv,picornavirales,na,fesavirus,1,0,0,0,1,0,0,0,1,NA,NA,NA,NA,0,0,Fesavirus_4
fikirini ledantevirus,27283494,1978545,group v,mononegavirales,rhabdoviridae,ledantevirus,1,0,0,1,0,1,0,0,1,0.011139,11.139,5,44.7,0,0,Fikirini_ledantevirus
fisher herpesvirus,24616158,1045882,group i,herpesvirales,herpesviridae,gammaherpesvirinae,0,0,1,0,0,1,0,0,0,0.155394449,155.3944493,57,53.9732,0,0,Fisher_herpesvirus
florida manatee papillomavirus,3720567,255363,group i,na,papillomaviridae,papillomaviridae,0,0,1,0,0,0,1,0,0,0.007339707,7.339706721,7,42.18,0,0,Florida_manatee_papillomavirus
foot-and-mouth disease virus,3437188,12110,group iv,picornavirales,picornaviridae,aphthovirus,1,0,0,0,1,0,0,0,1,0.0081675,8.1675,1,54.55,187.2,187.2,Foot-and-mouth_disease_virus
