pathogenid,Name,abs,classified,TID,B,O,F,G,G_abb
24643282,gorilla gorilla beringei adenovirus 4,gorilla gorilla beringei adenovirus 4,0,1076302,group i,na,adenoviridae,mastadenovirus,MstAD
24643283,gorilla gorilla beringei adenovirus 5,gorilla gorilla beringei adenovirus 5,0,1076303,group i,na,adenoviridae,mastadenovirus,MstAD
24643284,gorilla gorilla beringei adenovirus 6,gorilla gorilla beringei adenovirus 6,0,1076304,group i,na,adenoviridae,mastadenovirus,MstAD
24643285,gorilla gorilla gorilla adenovirus 1,gorilla gorilla gorilla adenovirus 1,0,1076305,group i,na,adenoviridae,mastadenovirus,MstAD
24643286,gorilla gorilla gorilla adenovirus 2,gorilla gorilla gorilla adenovirus 2,0,1076306,group i,na,adenoviridae,mastadenovirus,MstAD
3473911,guinea pig adenovirus,,,47901,group i,na,adenoviridae,mastadenovirus,MstAD
1958807,harbour porpoise adenovirus 1,,,1958807,group i,na,adenoviridae,mastadenovirus,MstAD
2358482,howler monkey adenovirus 1,,,2358482,group i,na,adenoviridae,mastadenovirus,MstAD
3606423,human mastadenovirus a,Hu-MAdV-A,0,129875,group i,na,adenoviridae,mastadenovirus,MstAD
3578842,human mastadenovirus b,Hu-MAdV-B,0,108098,group i,na,adenoviridae,mastadenovirus,MstAD
3606497,human mastadenovirus c,Hu-MAdV-C,0,129951,group i,na,adenoviridae,mastadenovirus,MstAD
3606842,human mastadenovirus d,Hu-MAdV-D,0,130310,group i,na,adenoviridae,mastadenovirus,MstAD
3606840,human mastadenovirus e,Hu-MAdV-E,0,130308,group i,na,adenoviridae,mastadenovirus,MstAD
3606841,human mastadenovirus f,Hu-MAdV-F,0,130309,group i,na,adenoviridae,mastadenovirus,MstAD
3967246,human mastadenovirus g,Hu-MAdV-G,0,536079,group i,na,adenoviridae,mastadenovirus,MstAD
2023343,lutrine adenovirus type 1,,,2023343,group i,na,adenoviridae,mastadenovirus,MstAD
24643287,macaca fascicularis adenovirus 1,,,1076307,group i,na,adenoviridae,mastadenovirus,MstAD
24643288,macaca mulatta adenovirus 1,,,1076308,group i,na,adenoviridae,mastadenovirus,MstAD
2023342,marten adenovirus type 2,,,2023342,group i,na,adenoviridae,mastadenovirus,MstAD
3606502,murine mastadenovirus a,Mu-MAdV-A,1,129956,group i,na,adenoviridae,mastadenovirus,MstAD
4214424,murine mastadenovirus b,Mu-MAdV-B,1,1146873,group i,na,adenoviridae,mastadenovirus,MstAD
4074885,murine mastadenovirus c,Mu-MAdV-C,1,696859,group i,na,adenoviridae,mastadenovirus,MstAD
27728883,otarine adenovirus,,,1177633,group i,na,adenoviridae,mastadenovirus,MstAD
1204570,otarine adenovirus 2,,,1204570,group i,na,adenoviridae,mastadenovirus,MstAD
3839067,ovine adenovirus c,,,389481,group i,na,adenoviridae,mastadenovirus,MstAD
3589338,ovine mastadenovirus a,Ov-MAdV-A,1,114424,group i,na,adenoviridae,mastadenovirus,MstAD
3839069,ovine mastadenovirus b,Ov-MAdV-B,1,389483,group i,na,adenoviridae,mastadenovirus,MstAD
3872677,pan troglodytes adenovirus type 3,pan troglodytes adenovirus type 3,0,426751,group i,na,adenoviridae,mastadenovirus,MstAD
3872679,pan troglodytes adenovirus type 63,pan troglodytes adenovirus type 63,0,426753,group i,na,adenoviridae,mastadenovirus,MstAD
24643289,pan troglodytes schweinfurthii adenovirus 1,pan troglodytes schweinfurthii adenovirus 1,0,1076309,group i,na,adenoviridae,mastadenovirus,MstAD
24643290,pan troglodytes schweinfurthii adenovirus 10,pan troglodytes schweinfurthii adenovirus 10,0,1076310,group i,na,adenoviridae,mastadenovirus,MstAD
24643291,pan troglodytes schweinfurthii adenovirus 11,pan troglodytes schweinfurthii adenovirus 11,0,1076311,group i,na,adenoviridae,mastadenovirus,MstAD
24643292,pan troglodytes schweinfurthii adenovirus 12,pan troglodytes schweinfurthii adenovirus 12,0,1076312,group i,na,adenoviridae,mastadenovirus,MstAD
24643293,pan troglodytes schweinfurthii adenovirus 13,pan troglodytes schweinfurthii adenovirus 13,0,1076313,group i,na,adenoviridae,mastadenovirus,MstAD
24643294,pan troglodytes schweinfurthii adenovirus 14,pan troglodytes schweinfurthii adenovirus 14,0,1076314,group i,na,adenoviridae,mastadenovirus,MstAD
24643295,pan troglodytes schweinfurthii adenovirus 2,pan troglodytes schweinfurthii adenovirus 2,0,1076315,group i,na,adenoviridae,mastadenovirus,MstAD
24643296,pan troglodytes schweinfurthii adenovirus 6,pan troglodytes schweinfurthii adenovirus 6,0,1076316,group i,na,adenoviridae,mastadenovirus,MstAD
24643297,pan troglodytes schweinfurthii adenovirus 7,pan troglodytes schweinfurthii adenovirus 7,0,1076317,group i,na,adenoviridae,mastadenovirus,MstAD
24643298,pan troglodytes schweinfurthii adenovirus 9,pan troglodytes schweinfurthii adenovirus 9,0,1076318,group i,na,adenoviridae,mastadenovirus,MstAD
24643299,pan troglodytes verus adenovirus 3,pan troglodytes verus adenovirus 3,0,1076319,group i,na,adenoviridae,mastadenovirus,MstAD
24643300,pan troglodytes verus adenovirus 4,pan troglodytes verus adenovirus 4,0,1076320,group i,na,adenoviridae,mastadenovirus,MstAD
24643301,pan troglodytes verus adenovirus 5,pan troglodytes verus adenovirus 5,0,1076321,group i,na,adenoviridae,mastadenovirus,MstAD
24643302,pan troglodytes verus adenovirus 8,pan troglodytes verus adenovirus 8,0,1076322,group i,na,adenoviridae,mastadenovirus,MstAD
24643303,papio hamadryas adenovirus 1,,,1076323,group i,na,adenoviridae,mastadenovirus,MstAD
26747509,phocine adenovirus 1,,,1204571,group i,na,adenoviridae,mastadenovirus,MstAD
26747511,phocine adenovirus 2,,,1204572,group i,na,adenoviridae,mastadenovirus,MstAD
24653183,phocoena adenovirus 1,,,1088787,group i,na,adenoviridae,mastadenovirus,MstAD
24643304,piliocolobus badius adenovirus 1,piliocolobus badius adenovirus 1,0,1076324,group i,na,adenoviridae,mastadenovirus,MstAD
24643305,piliocolobus badius adenovirus 2,piliocolobus badius adenovirus 2,0,1076325,group i,na,adenoviridae,mastadenovirus,MstAD
24643306,piliocolobus badius adenovirus 3,piliocolobus badius adenovirus 3,0,1076326,group i,na,adenoviridae,mastadenovirus,MstAD
24581772,platyrrhini mastadenovirus a,,,1986022,group i,na,adenoviridae,mastadenovirus,MstAD
2250215,polar bear mastadenovirus 1,,,2250215,group i,na,adenoviridae,mastadenovirus,MstAD
3589160,porcine adenovirus,,,114326,group i,na,adenoviridae,mastadenovirus,MstAD
3606899,porcine mastadenovirus a,Po-MAdV-A,1,130369,group i,na,adenoviridae,mastadenovirus,MstAD
3606900,porcine mastadenovirus b,Po-MAdV-B,1,130370,group i,na,adenoviridae,mastadenovirus,MstAD
3606901,porcine mastadenovirus c,Po-MAdV-C,1,130371,group i,na,adenoviridae,mastadenovirus,MstAD
1967296,rousettus aegyptiacus adenovirus,rousettus aegyptiacus adenovirus,0,1967296,group i,na,adenoviridae,mastadenovirus,MstAD
24653182,saguinus adenovirus 1,,,1088786,group i,na,adenoviridae,mastadenovirus,MstAD
4220432,sea lion mastadenovirus a,sea lion mastadenovirus a,0,1986024,group i,na,adenoviridae,mastadenovirus,MstAD
26205464,simian adenovirus 12,,,1715782,group i,na,adenoviridae,mastadenovirus,MstAD
26205460,simian adenovirus 15,,,1715780,group i,na,adenoviridae,mastadenovirus,MstAD
3457372,simian adenovirus 19,,,38416,group i,na,adenoviridae,mastadenovirus,MstAD
3457374,simian adenovirus 2,,,38418,group i,na,adenoviridae,mastadenovirus,MstAD
26205462,simian adenovirus 5,,,1715781,group i,na,adenoviridae,mastadenovirus,MstAD
3860544,simian adenovirus 8,,,413258,group i,na,adenoviridae,mastadenovirus,MstAD
26205398,simian adenovirus b,,,1165908,group i,na,adenoviridae,mastadenovirus,MstAD
3756223,simian mastadenovirus a,Si-MAdV-A,1,298334,group i,na,adenoviridae,mastadenovirus,MstAD
4251331,simian mastadenovirus b,Si-MAdV-B,1,1962299,group i,na,adenoviridae,mastadenovirus,MstAD
26205434,simian mastadenovirus c,Si-MAdV-C,1,1324794,group i,na,adenoviridae,mastadenovirus,MstAD
3457386,simian mastadenovirus d,Si-MAdV-D,1,1986017,group i,na,adenoviridae,mastadenovirus,MstAD
26205458,simian mastadenovirus e,Si-MAdV-E,1,1986018,group i,na,adenoviridae,mastadenovirus,MstAD
26205442,simian mastadenovirus h,Si-MAdV-H,1,1986021,group i,na,adenoviridae,mastadenovirus,MstAD
2170002,simian mastadenovirus i,Si-MAdV-I,1,2170002,group i,na,adenoviridae,mastadenovirus,MstAD
27372179,skunk mastadenovirus a,,,1986023,group i,na,adenoviridae,mastadenovirus,MstAD
2170003,squirrel mastadenovirus a,,,2170003,group i,na,adenoviridae,mastadenovirus,MstAD
3709001,tree shrew mastadenovirus a,,,242710,group i,na,adenoviridae,mastadenovirus,MstAD
2562198,weasel adenovirus 1,,,2562198,group i,na,adenoviridae,mastadenovirus,MstAD
3435001,african swine fever virus,ASFV,1,10497,group i,na,asfarviridae,asfivirus,Asf
4073779,marseillevirus marseillevirus,,,694581,group i,na,marseilleviridae,marseillevirus,Mrsl
4221557,senegalvirus marseillevirus,,,944645,group i,na,marseilleviridae,marseillevirus,Mrsl
3791691,alphapapillomavirus 1,Alphapapillomavirus 1,1,337048,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3788617,alphapapillomavirus 10,Alphapapillomavirus 10,1,333754,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791692,alphapapillomavirus 11,Alphapapillomavirus 11,1,337049,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3435090,alphapapillomavirus 12,Alphapapillomavirus 12,1,10570,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3788629,alphapapillomavirus 13,Alphapapillomavirus 13,1,333766,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791683,alphapapillomavirus 2,Alphapapillomavirus 2,1,337039,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3788630,alphapapillomavirus 3,Alphapapillomavirus 3,1,333767,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791686,alphapapillomavirus 4,Alphapapillomavirus 4,1,337043,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791687,alphapapillomavirus 5,Alphapapillomavirus 5,1,337044,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791693,alphapapillomavirus 6,Alphapapillomavirus 6,1,337050,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791685,alphapapillomavirus 7,Alphapapillomavirus 7,1,337042,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3788620,alphapapillomavirus 8,Alphapapillomavirus 8,1,333757,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791684,alphapapillomavirus 9,Alphapapillomavirus 9,1,337041,group i,na,papillomaviridae,alphapapillomavirus,AlphaPP
3791694,betapapillomavirus 1,,,337051,group i,na,papillomaviridae,betapapillomavirus,BetaPP
3788781,betapapillomavirus 2,,,333924,group i,na,papillomaviridae,betapapillomavirus,BetaPP
3789050,betapapillomavirus 3,,,334207,group i,na,papillomaviridae,betapapillomavirus,BetaPP
3789051,betapapillomavirus 4,,,334208,group i,na,papillomaviridae,betapapillomavirus,BetaPP
3789052,betapapillomavirus 5,,,334209,group i,na,papillomaviridae,betapapillomavirus,BetaPP
3481670,colobus monkey papillomavirus,,,52438,group i,na,papillomaviridae,betapapillomavirus,BetaPP
27232016,human betapapillomavirus,human betapapillomavirus,0,1188015,group i,na,papillomaviridae,betapapillomavirus,BetaPP
3490912,macaca fascicularis papillomavirus,,,57581,group i,na,papillomaviridae,betapapillomavirus,BetaPP
26202622,chipapillomavirus 1,Chipapillomavirus 1,1,1177758,group i,na,papillomaviridae,chipapillomavirus,ChiPP
26747963,chipapillomavirus 2,Chipapillomavirus 2,1,1177759,group i,na,papillomaviridae,chipapillomavirus,ChiPP
26202689,chipapillomavirus 3,Chipapillomavirus 3,1,1513276,group i,na,papillomaviridae,chipapillomavirus,ChiPP
3435080,deltapapillomavirus 1,Deltapapillomavirus 1,1,10565,group i,na,papillomaviridae,deltapapillomavirus,DltaPP
3435078,deltapapillomavirus 2,Deltapapillomavirus 2,1,10564,group i,na,papillomaviridae,deltapapillomavirus,DltaPP
3791695,deltapapillomavirus 4,BPV-1,1,337052,group i,na,papillomaviridae,deltapapillomavirus,DltaPP
26552541,deltapapillomavirus 5,Deltapapillomavirus 5,1,1175853,group i,na,papillomaviridae,deltapapillomavirus,DltaPP
27298814,dyochipapillomavirus 1,Dyochipapillomavirus 1,1,1918729,group i,na,papillomaviridae,dyochipapillomavirus,DychPP
4219314,dyoiotapapillomavirus 1,Dyoiotapapillomavirus 1,1,1233177,group i,na,papillomaviridae,dyoiotapapillomavirus,DychPP
27246606,dyoiotapapillomavirus 2,Dyoiotapapillomavirus 2,1,2083182,group i,na,papillomaviridae,dyoiotapapillomavirus,DychPP
4025666,dyokappapapillomavirus 1,Dyokappapapillomavirus 1,1,1513247,group i,na,papillomaviridae,dyokappapapillomavirus,DykPP
27727391,dyokappapapillomavirus 2,Dyokappapapillomavirus 2,1,1961787,group i,na,papillomaviridae,dyokappapapillomavirus,DykPP
27500482,dyokappapapillomavirus 3,Dyokappapapillomavirus 3,1,2169878,group i,na,papillomaviridae,dyokappapapillomavirus,DykPP
27500488,dyokappapapillomavirus 4,Dyokappapapillomavirus 4,1,2169879,group i,na,papillomaviridae,dyokappapapillomavirus,DykPP
4110301,dyolambdapapillomavirus 1,Dyolambdapapillomavirus 1,1,1513248,group i,na,papillomaviridae,dyolambdapapillomavirus,DylPP
4250019,dyonupapillomavirus 1,Dyonupapillomavirus 1,1,1513250,group i,na,papillomaviridae,dyonupapillomavirus,DynPP
27775963,dyoomegapapillomavirus 1,Dyoomegapapillomavirus 1,1,1918731,group i,na,papillomaviridae,dyoomegapapillomavirus,DymgPP
26323240,dyoomikronpapillomavirus 1,Dyoomikronpapillomavirus 1,1,1513251,group i,na,papillomaviridae,dyoomikronpapillomavirus,DymkrPP
27793434,dyophipapillomavirus 1,Dyophipapillomavirus 1,1,1920493,group i,na,papillomaviridae,dyophipapillomavirus,DyphPP
4082321,dyopipapillomavirus 1,Dyopipapillomavirus 1,1,1513252,group i,na,papillomaviridae,dyopipapillomavirus,DypPP
27775961,dyopsipapillomavirus 1,Dyopsipapillomavirus 1,1,1920498,group i,na,papillomaviridae,dyopsipapillomavirus,DyopsPP
27295640,dyorhopapillomavirus 1,Dyorhopapillomavirus 1,1,1513253,group i,na,papillomaviridae,dyorhopapillomavirus,DyorPP
26323246,dyosigmapapillomavirus 1,Dyosigmapapillomavirus 1,1,1513254,group i,na,papillomaviridae,dyosigmapapillomavirus,DyosPP
27727389,dyoupsilonpapillomavirus 1,Dyoupsilonpapillomavirus 1,1,1932912,group i,na,papillomaviridae,dyoupsilonpapillomavirus,DyouPP
26552587,dyoxipapillomavirus 1,Dyoxipapillomavirus 1,1,1513255,group i,na,papillomaviridae,dyoxipapillomavirus,DyoxPP
27500490,dyoxipapillomavirus 2,Dyoxipapillomavirus 2,1,2169881,group i,na,papillomaviridae,dyoxipapillomavirus,DyoxPP
3460994,epsilonpapillomavirus 1,Epsilonpapillomavirus 1,1,40537,group i,na,papillomaviridae,epsilonpapillomavirus,EpsPP
3788782,gammapapillomavirus 1,Gammapapillomavirus 1,1,333926,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552659,gammapapillomavirus 10,Gammapapillomavirus 10,1,1175852,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26328584,gammapapillomavirus 11,Gammapapillomavirus 11,1,1513256,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26328586,gammapapillomavirus 12,Gammapapillomavirus 12,1,1513257,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552661,gammapapillomavirus 13,Gammapapillomavirus 13,1,1513258,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552663,gammapapillomavirus 14,Gammapapillomavirus 14,1,1513259,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552665,gammapapillomavirus 15,Gammapapillomavirus 15,1,1513260,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552667,gammapapillomavirus 16,Gammapapillomavirus 16,1,1513261,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552669,gammapapillomavirus 17,Gammapapillomavirus 17,1,1513262,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26328588,gammapapillomavirus 18,Gammapapillomavirus 18,1,1513263,group i,na,papillomaviridae,gammapapillomavirus,GamPP
3788783,gammapapillomavirus 2,Gammapapillomavirus 2,1,333928,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26328592,gammapapillomavirus 20,Gammapapillomavirus 20,1,1513265,group i,na,papillomaviridae,gammapapillomavirus,GamPP
27765035,gammapapillomavirus 21,Gammapapillomavirus 21,1,1961678,group i,na,papillomaviridae,gammapapillomavirus,GamPP
27826466,gammapapillomavirus 22,Gammapapillomavirus 22,1,1961679,group i,na,papillomaviridae,gammapapillomavirus,GamPP
27778539,gammapapillomavirus 24,Gammapapillomavirus 24,1,1961681,group i,na,papillomaviridae,gammapapillomavirus,GamPP
27856566,gammapapillomavirus 25,Gammapapillomavirus 25,1,1961682,group i,na,papillomaviridae,gammapapillomavirus,GamPP
27665302,gammapapillomavirus 27,Gammapapillomavirus 27,1,2169902,group i,na,papillomaviridae,gammapapillomavirus,GamPP
3788786,gammapapillomavirus 5,Gammapapillomavirus 5,1,333931,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552671,gammapapillomavirus 6,Gammapapillomavirus 6,1,1175848,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26328594,gammapapillomavirus 7,Gammapapillomavirus 7,1,1175849,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26328596,gammapapillomavirus 8,Gammapapillomavirus 8,1,1175850,group i,na,papillomaviridae,gammapapillomavirus,GamPP
26552673,gammapapillomavirus 9,Gammapapillomavirus 9,1,1175851,group i,na,papillomaviridae,gammapapillomavirus,GamPP
3435084,iotapapillomavirus 1,Iotapapillomavirus 1,1,10567,group i,na,papillomaviridae,iotapapillomavirus,IotPP
24641587,iotapapillomavirus 2,Iotapapillomavirus 2,1,2169961,group i,na,papillomaviridae,iotapapillomavirus,IotPP
3599586,kappapapillomavirus 1,Kappapapillomavirus 1,1,122291,group i,na,papillomaviridae,kappapapillomavirus,KapPP
3435176,kappapapillomavirus 2,Kappapapillomavirus 2,1,10623,group i,na,papillomaviridae,kappapapillomavirus,KapPP
3653605,lambdapapillomavirus 1,Lambdapapillomavirus 1,1,181667,group i,na,papillomaviridae,lambdapapillomavirus,LmbPP
3452148,lambdapapillomavirus 2,Lambdapapillomavirus 2,1,35258,group i,na,papillomaviridae,lambdapapillomavirus,LmbPP
27856732,lambdapapillomavirus 4,Lambdapapillomavirus 4,1,1175855,group i,na,papillomaviridae,lambdapapillomavirus,LmbPP
3789047,mupapillomavirus 1,Mupapillomavirus 1,1,334203,group i,na,papillomaviridae,mupapillomavirus,MuPP
27381809,mupapillomavirus 3,Mupapillomavirus 3,1,1961783,group i,na,papillomaviridae,mupapillomavirus,MuPP
3534004,omikronpapillomavirus 1,Omikronpapillomavirus 1,1,82676,group i,na,papillomaviridae,omikronpapillomavirus,OmkPP
27723707,bos taurus papillomavirus 20,bos taurus papillomavirus 20,0,1887218,group i,na,papillomaviridae,papillomaviridae,NA
3435092,bovine papillomavirus,bovine papillomavirus,0,10571,group i,na,papillomaviridae,papillomaviridae,NA
26745825,bovine papillomavirus 32b,bovine papillomavirus 32b,0,1765002,group i,na,papillomaviridae,papillomaviridae,NA
26745827,bovine papillomavirus 7z,bovine papillomavirus 7z,0,1765003,group i,na,papillomaviridae,papillomaviridae,NA
27097318,camel papillomavirus,,,1855824,group i,na,papillomaviridae,papillomaviridae,NA
26747439,canine papillomavirus,,,1134411,group i,na,papillomaviridae,papillomaviridae,NA
3673665,chimpanzee papillomavirus,chimpanzee papillomavirus,0,203380,group i,na,papillomaviridae,papillomaviridae,NA
27744679,eidolon helvum papillomavirus 4,eidolon helvum papillomavirus 4,0,1335478,group i,na,papillomaviridae,papillomaviridae,NA
27744681,eidolon helvum papillomavirus 5,eidolon helvum papillomavirus 5,0,1335479,group i,na,papillomaviridae,papillomaviridae,NA
27744683,eidolon helvum papillomavirus 6,eidolon helvum papillomavirus 6,0,1335480,group i,na,papillomaviridae,papillomaviridae,NA
27786498,eidolon helvum papillomavirus 7,eidolon helvum papillomavirus 7,0,1335481,group i,na,papillomaviridae,papillomaviridae,NA
27861136,eptesicus isabellinus papillomavirus,eptesicus isabellinus papillomavirus,0,1495312,group i,na,papillomaviridae,papillomaviridae,NA
27861134,eptesicus serotinus papillomavirus,eptesicus serotinus papillomavirus,0,1495311,group i,na,papillomaviridae,papillomaviridae,NA
27345570,equine papillomavirus,,,2025828,group i,na,papillomaviridae,papillomaviridae,NA
4040585,feline sarcoid-associated papillomavirus,,,655222,group i,na,papillomaviridae,papillomaviridae,NA
27758099,ferret papillomavirus,,,1394141,group i,na,papillomaviridae,papillomaviridae,NA
3720567,florida manatee papillomavirus,,,255363,group i,na,papillomaviridae,papillomaviridae,NA
3435082,human papillomavirus,human papillomavirus,0,10566,group i,na,papillomaviridae,papillomaviridae,NA
27655259,human papillomavirus kc5,human papillomavirus kc5,0,1647924,group i,na,papillomaviridae,papillomaviridae,NA
27734961,human papillomavirus type 78,human papillomavirus type 78,0,1297549,group i,na,papillomaviridae,papillomaviridae,NA
3461002,ovine papillomavirus,ovine papillomavirus,0,40541,group i,na,papillomaviridae,papillomaviridae,NA
27755415,pteropus giganteus papillomavirus type 1,,,1384489,group i,na,papillomaviridae,papillomaviridae,NA
27860012,rangifer tarandus granti papillomavirus,,,1489729,group i,na,papillomaviridae,papillomaviridae,NA
27808584,rangifer tarandus papillomavirus 3,,,1370095,group i,na,papillomaviridae,papillomaviridae,NA
3571396,trichosurus vulpecula papillomavirus,,,103821,group i,na,papillomaviridae,papillomaviridae,NA
27863686,tursiops aduncus papillomavirus,,,1508163,group i,na,papillomaviridae,papillomaviridae,NA
24562512,pipapillomavirus 1,Pipapillomavirus 1,1,334212,group i,na,papillomaviridae,pipapillomavirus,PiPP
24609452,pipapillomavirus 2,Pipapillomavirus 2,1,1176145,group i,na,papillomaviridae,pipapillomavirus,PiPP
3821029,psipapillomavirus 1,Psipapillomavirus 1,1,1177762,group i,na,papillomaviridae,psipapillomavirus,PsiPP
27543093,psipapillomavirus 2,Psipapillomavirus 2,1,2170170,group i,na,papillomaviridae,psipapillomavirus,PsiPP
27273496,psipapillomavirus 3,Psipapillomavirus 3,1,2170171,group i,na,papillomaviridae,psipapillomavirus,PsiPP
3750238,rhopapillomavirus 1,Rhopapillomavirus 1,1,1176146,group i,na,papillomaviridae,rhopapillomavirus,RhoPP
27556939,rhopapillomavirus 2,Rhopapillomavirus 2,1,1961785,group i,na,papillomaviridae,rhopapillomavirus,RhoPP
3750239,sigmapapillomavirus 1,Sigmapapillomavirus 1,1,1176147,group i,na,papillomaviridae,sigmapapillomavirus,SigPP
26748013,feline papillomavirus type 3,,,1679502,group i,na,papillomaviridae,taupapillomavirus,TauPP
26748063,taupapillomavirus 1,Taupapillomavirus 1,1,1176148,group i,na,papillomaviridae,taupapillomavirus,TauPP
26350136,taupapillomavirus 2,Taupapillomavirus 2,1,1513274,group i,na,papillomaviridae,taupapillomavirus,TauPP
27273610,taupapillomavirus 3,Taupapillomavirus 3,1,1961786,group i,na,papillomaviridae,taupapillomavirus,TauPP
27775967,treisdeltapapillomavirus 1,Treisdeltapapillomavirus 1,1,1921773,group i,na,papillomaviridae,treisdeltapapillomavirus,TrePP
27229038,treisetapapillomavirus 1,Treisetapapillomavirus 1,1,1921824,group i,na,papillomaviridae,treisetapapillomavirus,TrePP
27693587,treisthetapapillomavirus 1,Treisthetapapillomavirus 1,1,2170237,group i,na,papillomaviridae,treisthetapapillomavirus,TrePP
4217053,upsilonpapillomavirus 2,Upsilonpapillomavirus 2,1,1176149,group i,na,papillomaviridae,upsilonpapillomavirus,UpsPP
4082320,upsilonpapillomavirus 3,Upsilonpapillomavirus 3,1,1513275,group i,na,papillomaviridae,upsilonpapillomavirus,UpsPP
3435072,xipapillomavirus 1,Xipapillomavirus 1,1,10561,group i,na,papillomaviridae,xipapillomavirus,XiPP
26553247,xipapillomavirus 2,Xipapillomavirus 2,1,1513273,group i,na,papillomaviridae,xipapillomavirus,XiPP
27808582,xipapillomavirus 3,Xipapillomavirus 3,1,1961784,group i,na,papillomaviridae,xipapillomavirus,XiPP
27500484,xipapillomavirus 4,Xipapillomavirus 4,1,2170255,group i,na,papillomaviridae,xipapillomavirus,XiPP
3788776,zetapapillomavirus 1,Zetapapillomavirus 1,1,333919,group i,na,papillomaviridae,zetapapillomavirus,ZetaPP
26205236,acerodon celebensis polyomavirus 1,acerodon celebensis polyomavirus 1,0,1891717,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
27629007,carollia perspicillata polyomavirus 1,carollia perspicillata polyomavirus 1,0,1606502,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
28458273,chlorocebus pygerythrus polyomavirus 1,chlorocebus pygerythrus polyomavirus 1,0,1891719,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
26205234,dobsonia moluccensis polyomavirus 1,dobsonia moluccensis polyomavirus 1,0,1891721,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
4212727,gorilla gorilla polyomavirus 1,gorilla gorilla polyomavirus 1,0,1891725,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
27789517,human polyomavirus 13,human polyomavirus 13,0,1891728,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
3932358,human polyomavirus 5,human polyomavirus 5,0,1891726,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
4164252,human polyomavirus 8,human polyomavirus 8,0,1891727,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
4221022,human polyomavirus 9,human polyomavirus 9,0,943908,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
26303162,mesocricetus auratus polyomavirus 1,mesocricetus auratus polyomavirus 1,0,1891729,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
27343860,molossus molossus polyomavirus 1,molossus molossus polyomavirus 1,0,1606504,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
26303164,mus musculus polyomavirus 1,mus musculus polyomavirus 1,0,1891730,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
26205516,papio cynocephalus polyomavirus 1,papio cynocephalus polyomavirus 1,0,1891740,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
27342870,pongo abelii polyomavirus 1,pongo abelii polyomavirus 1,0,1891741,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
27240550,procyon lotor polyomavirus 1,procyon lotor polyomavirus 1,0,1891742,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
26303094,rattus norvegicus polyomavirus 1,rattus norvegicus polyomavirus 1,0,1679933,group i,na,polyomaviridae,alphapolyomavirus,AlphaPol
26205240,acerodon celebensis polyomavirus 2,acerodon celebensis polyomavirus 2,0,1891757,group i,na,polyomaviridae,betapolyomavirus,Betapol
27509057,cercopithecus erythrotis polyomavirus 1,cercopithecus erythrotis polyomavirus 1,0,1236395,group i,na,polyomaviridae,betapolyomavirus,Betapol
27343858,desmodus rotundus polyomavirus 1,desmodus rotundus polyomavirus 1,0,1606503,group i,na,polyomaviridae,betapolyomavirus,Betapol
26205242,dobsonia moluccensis polyomavirus 2,dobsonia moluccensis polyomavirus 2,0,1891759,group i,na,polyomaviridae,betapolyomavirus,Betapol
